bioguide_id,representative,party,party_code,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
P000610,Plaskett,Democratic,D,XX,28,11,0,1,0,40,29,3.4,96.6,27.5
K000401,Kiley (CA),Independent,I,CA,5,1,1,51,0,58,56,91.1,8.9,1.7
B001323,Begich,Republican,R,AK,5,3,0,374,0,382,379,98.7,1.3,0.8
A000055,Aderholt,Republican,R,AL,12,5,0,365,0,382,377,96.8,3.2,1.3
M001212,Moore (AL),Republican,R,AL,6,8,0,368,0,382,374,98.4,1.6,2.1
P000609,Palmer,Republican,R,AL,6,4,0,372,0,382,378,98.4,1.6,1.0
R000575,Rogers (AL),Republican,R,AL,13,6,0,363,0,382,376,96.5,3.5,1.6
S001220,Strong,Republican,R,AL,10,5,0,367,0,382,377,97.3,2.7,1.3
C001087,Crawford,Republican,R,AR,5,7,0,370,0,382,375,98.7,1.3,1.8
H001072,Hill (AR),Republican,R,AR,14,4,0,364,0,382,378,96.3,3.7,1.0
W000821,Westerman,Republican,R,AR,11,3,0,368,0,382,379,97.1,2.9,0.8
W000809,Womack,Republican,R,AR,16,45,0,321,0,382,337,95.3,4.7,11.8
B001302,Biggs (AZ),Republican,R,AZ,7,12,0,363,0,382,370,98.1,1.9,3.1
C001133,Ciscomani,Republican,R,AZ,14,8,0,360,0,382,374,96.3,3.7,2.1
C001132,Crane,Republican,R,AZ,10,1,0,371,0,382,381,97.4,2.6,0.3
G000565,Gosar,Republican,R,AZ,6,10,0,366,0,382,372,98.4,1.6,2.6
H001098,Hamadeh (AZ),Republican,R,AZ,4,2,1,375,0,382,379,98.9,1.1,0.5
S001183,Schweikert,Republican,R,AZ,6,6,0,370,0,382,376,98.4,1.6,1.6
C000059,Calvert,Republican,R,CA,15,2,0,365,0,382,380,96.1,3.9,0.5
F000480,Fong,Republican,R,CA,13,9,0,360,0,382,373,96.5,3.5,2.4
I000056,Issa,Republican,R,CA,13,2,0,367,0,382,380,96.6,3.4,0.5
K000401,Kiley (CA),Republican,R,CA,20,2,1,301,0,324,321,93.8,6.2,0.6
K000397,Kim,Republican,R,CA,13,3,0,366,0,382,379,96.6,3.4,0.8
L000578,LaMalfa,Republican,R,CA,0,9,0,244,0,253,244,100.0,0.0,3.6
M001177,McClintock,Republican,R,CA,6,14,0,362,0,382,368,98.4,1.6,3.7
O000019,Obernolte,Republican,R,CA,18,3,1,360,0,382,378,95.2,4.8,0.8
V000129,Valadao,Republican,R,CA,27,8,0,347,0,382,374,92.8,7.2,2.1
B000825,Boebert,Republican,R,CO,9,10,0,363,0,382,372,97.6,2.4,2.6
C001137,Crank,Republican,R,CO,6,0,0,376,0,382,382,98.4,1.6,0.0
E000300,Evans (CO),Republican,R,CO,18,0,0,364,0,382,382,95.3,4.7,0.0
H001100,Hurd (CO),Republican,R,CO,17,1,0,364,0,382,381,95.5,4.5,0.3
B001314,Bean (FL),Republican,R,FL,3,0,0,379,0,382,382,99.2,0.8,0.0
B001257,Bilirakis,Republican,R,FL,6,9,0,367,0,382,373,98.4,1.6,2.4
B001260,Buchanan,Republican,R,FL,13,15,0,354,0,382,367,96.5,3.5,3.9
C001039,Cammack,Republican,R,FL,4,5,0,373,0,382,377,98.9,1.1,1.3
D000600,Diaz-Balart,Republican,R,FL,17,20,0,345,0,382,362,95.3,4.7,5.2
D000032,Donalds,Republican,R,FL,7,25,0,350,0,382,357,98.0,2.0,6.5
D000628,Dunn (FL),Republican,R,FL,3,43,0,336,0,382,339,99.1,0.9,11.3
F000484,Fine,Republican,R,FL,7,1,0,322,0,330,329,97.9,2.1,0.3
F000472,"Franklin, Scott",Republican,R,FL,2,2,0,378,0,382,380,99.5,0.5,0.5
G000593,Gimenez,Republican,R,FL,16,31,0,335,0,382,351,95.4,4.6,8.1
H001099,Haridopolos,Republican,R,FL,12,6,0,364,0,382,376,96.8,3.2,1.6
L000597,Lee (FL),Republican,R,FL,5,25,0,352,0,382,357,98.6,1.4,6.5
L000596,Luna,Republican,R,FL,9,25,0,348,0,382,357,97.5,2.5,6.5
M001199,Mast,Republican,R,FL,8,7,0,367,0,382,375,97.9,2.1,1.8
M001216,Mills,Republican,R,FL,5,7,0,370,0,382,375,98.7,1.3,1.8
P000622,Patronis,Republican,R,FL,10,0,0,320,0,330,330,97.0,3.0,0.0
R000609,Rutherford,Republican,R,FL,5,49,0,328,0,382,333,98.5,1.5,12.8
S000168,Salazar,Republican,R,FL,16,42,0,324,0,382,340,95.3,4.7,11.0
S001214,Steube,Republican,R,FL,7,7,0,368,0,382,375,98.1,1.9,1.8
W000823,Waltz,Republican,R,FL,0,4,0,5,0,9,5,100.0,0.0,44.4
W000806,Webster (FL),Republican,R,FL,4,2,0,376,0,382,380,98.9,1.1,0.5
A000372,Allen,Republican,R,GA,1,4,0,377,0,382,378,99.7,0.3,1.0
C001103,Carter (GA),Republican,R,GA,5,17,0,360,0,382,365,98.6,1.4,4.5
C001116,Clyde,Republican,R,GA,4,3,0,375,0,382,379,98.9,1.1,0.8
C001129,Collins,Republican,R,GA,2,3,0,377,0,382,379,99.5,0.5,0.8
F000485,Fuller,Republican,R,GA,2,0,0,44,0,46,46,95.7,4.3,0.0
G000596,Greene (GA),Republican,R,GA,7,25,1,220,0,253,227,96.9,3.1,9.9
J000311,Jack,Republican,R,GA,8,0,0,374,0,382,382,97.9,2.1,0.0
L000583,Loudermilk,Republican,R,GA,1,17,0,364,0,382,365,99.7,0.3,4.5
M001218,McCormick,Republican,R,GA,4,1,0,377,0,382,381,99.0,1.0,0.3
S001189,"Scott, Austin",Republican,R,GA,2,2,0,378,0,382,380,99.5,0.5,0.5
F000446,Feenstra,Republican,R,IA,11,6,0,365,0,382,376,97.1,2.9,1.6
H001091,Hinson,Republican,R,IA,7,4,0,371,0,382,378,98.1,1.9,1.0
M001215,Miller-Meeks,Republican,R,IA,17,12,0,353,0,382,370,95.4,4.6,3.1
N000193,Nunn (IA),Republican,R,IA,20,12,1,349,0,382,369,94.6,5.4,3.1
F000469,Fulcher,Republican,R,ID,3,5,0,374,0,382,377,99.2,0.8,1.3
S001148,Simpson,Republican,R,ID,19,5,0,358,0,382,377,95.0,5.0,1.3
B001295,Bost,Republican,R,IL,6,3,0,373,0,382,379,98.4,1.6,0.8
L000585,LaHood,Republican,R,IL,7,26,0,349,0,382,356,98.0,2.0,6.8
M001211,Miller (IL),Republican,R,IL,2,6,0,374,0,382,376,99.5,0.5,1.6
B001307,Baird,Republican,R,IN,9,20,0,353,0,382,362,97.5,2.5,5.2
