representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Panetta,Democratic,CA,CA,348,0,0,34,0,382,382,8.9,91.1,0.0
Pelosi,Democratic,CA,CA,354,24,1,3,0,382,357,0.8,99.2,6.3
Peters,Democratic,CA,CA,357,3,1,21,0,382,378,5.6,94.4,0.8
Rivas,Democratic,CA,CA,378,3,0,1,0,382,379,0.3,99.7,0.8
Ruiz,Democratic,CA,CA,365,5,0,12,0,382,377,3.2,96.8,1.3
Sherman,Democratic,CA,CA,370,7,0,5,0,382,375,1.3,98.7,1.8
Simon,Democratic,CA,CA,373,7,0,2,0,382,375,0.5,99.5,1.8
Swalwell,Democratic,CA,CA,209,120,0,7,0,336,216,3.2,96.8,35.7
Sánchez,Democratic,CA,CA,372,7,0,3,0,382,375,0.8,99.2,1.8
Takano,Democratic,CA,CA,380,2,0,0,0,382,380,0.0,100.0,0.5
Thompson (CA),Democratic,CA,CA,368,2,0,12,0,382,380,3.2,96.8,0.5
Torres (CA),Democratic,CA,CA,365,6,0,11,0,382,376,2.9,97.1,1.6
Tran,Democratic,CA,CA,348,0,2,32,0,382,380,8.4,91.6,0.0
Vargas,Democratic,CA,CA,375,5,0,2,0,382,377,0.5,99.5,1.3
Waters,Democratic,CA,CA,367,14,0,1,0,382,368,0.3,99.7,3.7
Whitesides,Democratic,CA,CA,335,8,1,38,0,382,373,10.2,89.8,2.1
Crow,Democratic,CO,CO,376,0,0,6,0,382,382,1.6,98.4,0.0
DeGette,Democratic,CO,CO,377,4,0,1,0,382,378,0.3,99.7,1.0
Neguse,Democratic,CO,CO,379,0,0,3,0,382,382,0.8,99.2,0.0
Pettersen,Democratic,CO,CO,325,49,0,8,0,382,333,2.4,97.6,12.8
Courtney,Democratic,CT,CT,340,26,1,15,0,382,355,4.2,95.8,6.8
DeLauro,Democratic,CT,CT,373,3,1,5,0,382,378,1.3,98.7,0.8
Hayes,Democratic,CT,CT,376,0,0,6,0,382,382,1.6,98.4,0.0
Himes,Democratic,CT,CT,359,3,1,19,0,382,378,5.0,95.0,0.8
Larson (CT),Democratic,CT,CT,368,11,0,3,0,382,371,0.8,99.2,2.9
Norton,Democratic,DC,DC,40,0,0,0,0,40,40,0.0,100.0,0.0
McBride,Democratic,DE,DE,370,2,1,9,0,382,379,2.4,97.6,0.5
Castor (FL),Democratic,FL,FL,366,7,1,8,0,382,374,2.1,97.9,1.8
Cherfilus-McCormick,Democratic,FL,FL,339,4,0,7,0,350,346,2.0,98.0,1.1
"Frankel, Lois",Democratic,FL,FL,357,16,1,8,0,382,365,2.2,97.8,4.2
Frost,Democratic,FL,FL,381,1,0,0,0,382,381,0.0,100.0,0.3
Moskowitz,Democratic,FL,FL,329,10,1,42,0,382,371,11.3,88.7,2.6
Soto,Democratic,FL,FL,353,0,1,28,0,382,381,7.3,92.7,0.0
Wasserman Schultz,Democratic,FL,FL,363,7,0,12,0,382,375,3.2,96.8,1.8
Wilson (FL),Democratic,FL,FL,300,80,0,2,0,382,302,0.7,99.3,20.9
Bishop,Democratic,GA,GA,346,8,0,28,0,382,374,7.5,92.5,2.1
Johnson (GA),Democratic,GA,GA,371,8,0,3,0,382,374,0.8,99.2,2.1
McBath,Democratic,GA,GA,341,25,1,15,0,382,356,4.2,95.8,6.5
"Scott, David",Democratic,GA,GA,341,5,0,6,0,352,347,1.7,98.3,1.4
Williams (GA),Democratic,GA,GA,363,18,0,1,0,382,364,0.3,99.7,4.7
Case,Democratic,HI,HI,361,2,1,18,0,382,379,4.7,95.3,0.5
Tokuda,Democratic,HI,HI,382,0,0,0,0,382,382,0.0,100.0,0.0
